2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 99
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 104
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 104
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 121
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 123
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 123
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 125
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Frase desencriptada correctamente.
2025-09-10 18:45:20 [main] INFO  main - Objeto Frase creado correctamente con valor: Choose to be optimistic, it feels better.
2025-09-10 18:45:20 [main] INFO  MainLogger - Se procesó la frase: Choose to be optimistic, it feels better.
2025-09-10 18:45:20 [main] INFO  main - Iniciando encriptación de frase...
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 79
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 114
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 79
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 114
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 79
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 115
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 3
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 110
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 106
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 118
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 106
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 118
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 106
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 114
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 119
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 114
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 3
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 108
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 119
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 4
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 114
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 110
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 108
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 119
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 106
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 3
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 104
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 106
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 4
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 125
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 104
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 5
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 112
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 125
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 6
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 113
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 112
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 7
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 100
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 104
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 106
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 106
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 112
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 125
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 2
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 102
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 3
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 102
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 4
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 107
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Referencia establecida correctamente en Nodo con valor: 102
2025-09-10 18:45:20 [main] INFO  main - intercambiarReferencias ejecutado correctamente.
2025-09-10 18:45:20 [main] INFO  main - Nueva LinkedList creada. Tamaño inicial: 0
2025-09-10 18:45:20 [main] INFO  main - Nodo creado correctamente con valor: 117
2025-09-10 18:45:20 [main] INFO  main - Elemento agregado a LinkedList. Nuevo tamaño: 1
